datetime,temp,feelslike,humidity,dew,precip,precipprob,windspeed,visibility,windcover,foglikelihood (%),harvest_liters
2024-12-06:00:00:00,28.0,32.6,83.78,25.0,0.0,0.0,5.4,10.0,25.0,7.08,0.0
2024-12-06:01:00:00,27.0,30.5,88.83,25.0,0.0,0.0,7.6,10.0,25.0,14.74,0.0
2024-12-06:02:00:00,27.0,30.5,88.83,25.0,0.0,0.0,5.4,10.0,50.0,14.74,0.0
2024-12-06:03:00:00,27.0,30.5,88.83,25.0,0.0,0.0,3.6,10.0,88.0,14.74,0.0
2024-12-06:04:00:00,27.0,30.5,88.83,25.0,0.0,0.0,3.6,10.0,88.0,14.74,0.0
2024-12-06:05:00:00,27.0,31.0,94.27,26.0,0.1,100.0,7.6,10.0,100.0,52.44,4.0
2024-12-06:06:00:00,26.0,26.0,94.23,25.0,0.0,0.0,0.0,10.0,50.0,52.44,0.0
2024-12-06:07:00:00,27.0,30.5,88.83,25.0,0.0,0.0,5.4,10.0,25.0,14.74,0.0
2024-12-06:08:00:00,29.0,33.5,74.46,24.0,0.0,0.0,5.4,10.0,25.0,7.08,0.0
2024-12-06:09:00:00,30.0,34.0,66.17,23.0,0.0,0.0,9.4,10.0,25.0,7.08,0.0
2024-12-06:10:00:00,31.0,35.4,62.49,23.0,0.0,0.0,7.6,10.0,25.0,7.08,0.0
2024-12-06:11:00:00,32.0,36.7,59.03,23.0,0.1,100.0,9.4,10.0,25.0,7.08,4.0
2024-12-06:12:00:00,32.0,36.7,59.03,23.0,0.0,0.0,11.2,10.0,25.0,7.08,0.0
2024-12-06:13:00:00,33.0,38.0,55.79,23.0,0.0,0.0,9.4,10.0,25.0,7.08,0.0
2024-12-06:14:00:00,34.0,40.5,56.03,24.0,0.0,0.0,11.2,10.0,25.0,7.08,0.0
2024-12-06:15:00:00,34.0,40.5,56.03,24.0,0.0,0.0,11.2,10.0,25.0,7.08,0.0
2024-12-06:16:00:00,32.0,36.7,59.03,23.0,0.0,0.0,14.8,10.0,88.0,7.08,0.0
2024-12-06:17:00:00,31.0,35.4,62.49,23.0,0.0,0.0,14.8,10.0,88.0,7.08,0.0
2024-12-06:18:00:00,30.0,34.0,66.17,23.0,0.0,0.0,9.4,10.0,50.0,7.08,0.0
2024-12-06:19:00:00,30.0,35.0,70.28,24.0,0.0,0.0,5.4,10.0,25.0,7.08,0.0
2024-12-06:20:00:00,29.0,33.5,74.46,24.0,0.0,0.0,5.4,10.0,25.0,7.08,0.0
2024-12-06:21:00:00,29.0,33.5,74.46,24.0,0.0,0.0,5.4,10.0,25.0,7.08,0.0
2024-12-06:22:00:00,28.0,31.8,78.91,24.0,0.0,0.0,0.0,10.0,25.0,7.08,0.0
2024-12-06:23:00:00,29.0,34.4,79.05,25.0,0.0,0.0,3.6,10.0,50.0,7.08,0.0
2024-12-07:00:00:00,28.0,32.6,83.78,25.0,0.0,0.0,3.6,10.0,50.0,7.08,0.0
2024-12-07:01:00:00,28.0,32.6,83.78,25.0,0.0,0.0,3.6,10.0,50.0,7.08,0.0
2024-12-07:02:00:00,28.0,32.6,83.78,25.0,0.0,0.0,3.6,10.0,50.0,7.08,0.0
2024-12-07:03:00:00,28.0,32.6,83.78,25.0,0.0,0.0,3.6,10.0,25.0,7.08,0.0
2024-12-07:04:00:00,28.0,32.6,83.78,25.0,0.0,0.0,3.6,10.0,50.0,7.08,0.0
2024-12-07:05:00:00,26.0,26.0,94.23,25.0,0.0,0.0,9.4,8.0,88.0,52.44,0.0
2024-12-07:06:00:00,27.0,30.5,88.83,25.0,0.0,0.0,1.8,10.0,88.0,14.74,0.0
2024-12-07:07:00:00,27.0,31.0,94.27,26.0,0.0,0.0,3.6,10.0,88.0,52.44,0.0
2024-12-07:08:00:00,29.0,35.5,83.89,26.0,0.0,0.0,5.4,10.0,50.0,7.08,0.0
2024-12-07:09:00:00,30.0,36.1,74.62,25.0,0.0,0.0,5.4,10.0,88.0,7.08,0.0
2024-12-07:10:00:00,31.0,37.6,70.47,25.0,0.0,0.0,5.4,10.0,88.0,7.08,0.0
2024-12-07:11:00:00,30.0,37.3,79.19,26.0,0.0,0.0,7.6,10.0,88.0,7.08,0.0
2024-12-07:12:00:00,31.0,39.0,74.78,26.0,0.0,0.0,7.6,10.0,88.0,7.08,0.0
2024-12-07:13:00:00,31.0,39.0,74.78,26.0,0.1,100.0,7.6,10.0,88.0,7.08,4.0
2024-12-07:14:00:00,33.0,42.0,66.77,26.0,0.0,0.0,11.2,10.0,50.0,7.08,0.0
2024-12-07:15:00:00,32.0,39.1,66.57,25.0,0.0,0.0,5.4,10.0,88.0,7.08,0.0
2024-12-07:16:00:00,30.0,35.0,70.28,24.0,0.0,0.0,9.4,10.0,88.0,7.08,0.0
2024-12-07:17:00:00,31.0,39.0,74.78,26.0,0.0,0.0,7.6,10.0,88.0,7.08,0.0
2024-12-07:18:00:00,30.0,36.1,74.62,25.0,0.0,0.0,5.4,10.0,50.0,7.08,0.0
2024-12-07:19:00:00,29.0,35.5,83.89,26.0,0.0,0.0,5.4,10.0,25.0,7.08,0.0
2024-12-07:20:00:00,29.0,34.4,79.05,25.0,0.0,0.0,7.6,10.0,25.0,7.08,0.0
2024-12-07:21:00:00,29.0,34.4,79.05,25.0,0.0,0.0,5.4,10.0,88.0,7.08,0.0
2024-12-07:22:00:00,28.0,32.6,83.78,25.0,0.0,0.0,5.4,10.0,88.0,7.08,0.0
2024-12-07:23:00:00,28.0,32.6,83.78,25.0,0.0,0.0,3.6,10.0,25.0,7.08,0.0
2024-12-08:00:00:00,28.0,33.4,88.91,26.0,0.0,0.0,5.4,10.0,25.0,7.08,0.0
2024-12-08:01:00:00,28.0,33.4,88.91,26.0,0.0,0.0,3.6,10.0,25.0,7.08,0.0
2024-12-08:02:00:00,27.0,30.5,88.83,25.0,0.0,0.0,1.8,10.0,25.0,14.74,0.0
2024-12-08:03:00:00,27.0,30.5,88.83,25.0,0.0,0.0,3.6,10.0,25.0,14.74,0.0
2024-12-08:04:00:00,28.0,32.6,83.78,25.0,0.0,0.0,5.4,10.0,25.0,7.08,0.0
2024-12-08:05:00:00,28.0,31.8,78.91,24.0,0.0,0.0,5.4,10.0,25.0,7.08,0.0
2024-12-08:06:00:00,27.0,30.5,88.83,25.0,0.0,0.0,1.8,10.0,25.0,14.74,0.0
2024-12-08:07:00:00,28.0,31.8,78.91,24.0,0.0,0.0,7.6,10.0,25.0,7.08,0.0
2024-12-08:08:00:00,30.0,35.0,70.28,24.0,0.0,0.0,1.8,10.0,50.0,7.08,0.0
2024-12-08:09:00:00,30.0,35.0,70.28,24.0,0.0,0.0,9.4,10.0,50.0,7.08,0.0
2024-12-08:10:00:00,31.0,36.4,66.37,24.0,0.1,100.0,7.6,10.0,88.0,7.08,4.0
2024-12-08:11:00:00,31.0,37.6,70.47,25.0,0.0,0.0,7.6,10.0,88.0,7.08,0.0
2024-12-08:12:00:00,31.0,37.6,70.47,25.0,0.1,100.0,7.6,10.0,88.0,7.08,4.0
2024-12-08:13:00:00,31.0,36.4,66.37,24.0,0.2,100.0,11.2,10.0,100.0,7.08,8.0
2024-12-08:14:00:00,31.0,36.4,66.37,24.0,0.0,0.0,11.2,10.0,100.0,7.08,0.0
2024-12-08:15:00:00,30.0,37.3,79.19,26.0,0.0,0.0,5.4,10.0,88.0,7.08,0.0
2024-12-08:16:00:00,30.0,37.3,79.19,26.0,0.0,0.0,5.4,10.0,88.0,7.08,0.0
2024-12-08:17:00:00,29.0,34.4,79.05,25.0,0.0,0.0,11.2,10.0,100.0,7.08,0.0
2024-12-08:18:00:00,28.0,33.4,88.91,26.0,0.0,0.0,11.2,9.0,100.0,7.08,0.0
2024-12-08:19:00:00,28.0,33.4,88.91,26.0,0.1,100.0,3.6,10.0,88.0,7.08,4.0
2024-12-08:20:00:00,27.0,31.0,94.27,26.0,0.1,100.0,5.4,9.0,100.0,52.44,4.0
2024-12-08:21:00:00,27.0,31.0,94.27,26.0,0.0,0.0,3.6,10.0,88.0,52.44,0.0
2024-12-08:22:00:00,27.0,31.0,94.27,26.0,0.1,100.0,1.8,10.0,88.0,52.44,4.0
2024-12-08:23:00:00,28.0,31.0,72.96,22.7,0.0,9.7,18.0,24.1,83.3,7.08,0.0
